,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.576 (125/217),0.9487 (37/39)
0,0.12689610031679222,0.576 (125/217),0.9487 (37/39)
0,0.16102620275609392,0.576 (125/217),0.9487 (37/39)
0,0.20433597178569418,0.576 (125/217),0.9487 (37/39)
0,0.2592943797404667,0.5853 (127/217),0.9487 (37/39)
0,0.32903445623126687,0.5853 (127/217),0.9487 (37/39)
0,0.41753189365604015,0.6221 (135/217),0.9487 (37/39)
0,0.5298316906283709,0.6221 (135/217),0.9487 (37/39)
0,0.6723357536499337,0.6221 (135/217),0.9487 (37/39)
0,0.8531678524172808,0.6221 (135/217),0.9487 (37/39)
0,1.0826367338740546,0.6083 (132/217),0.7949 (31/39)
0,1.373823795883263,0.6083 (132/217),0.7949 (31/39)
0,1.743328822199988,0.6452 (140/217),0.7949 (31/39)
0,2.2122162910704493,0.6452 (140/217),0.7949 (31/39)
0,2.807216203941177,0.6083 (132/217),0.7949 (31/39)
0,3.562247890262442,0.6083 (132/217),0.7949 (31/39)
0,4.520353656360243,0.5484 (119/217),0.7949 (31/39)
0,5.736152510448679,0.5484 (119/217),0.7949 (31/39)
0,7.27895384398315,0.6452 (140/217),0.7949 (31/39)
0,9.23670857187386,0.6452 (140/217),0.7949 (31/39)
0,11.721022975334806,0.6083 (132/217),0.7949 (31/39)
0,14.873521072935118,0.7373 (160/217),0.7949 (31/39)
0,18.873918221350976,0.7143 (155/217),0.7949 (31/39)
0,23.95026619987486,0.7143 (155/217),0.7179 (28/39)
0,30.39195382313198,0.6452 (140/217),0.7179 (28/39)
0,38.56620421163472,0.6406 (139/217),0.7179 (28/39)
0,48.93900918477494,0.6359 (138/217),0.7179 (28/39)
0,62.10169418915616,0.6359 (138/217),0.7179 (28/39)
0,78.80462815669912,0.6452 (140/217),0.7179 (28/39)
0,100.0,0.6452 (140/217),0.7179 (28/39)
