,threshold,train_dataset_accuracy,test_dataset_accuracy
0,0.1,0.5253 (104/198),1.0 (58/58)
0,0.12689610031679222,0.5253 (104/198),1.0 (58/58)
0,0.16102620275609392,0.5253 (104/198),1.0 (58/58)
0,0.20433597178569418,0.5253 (104/198),1.0 (58/58)
0,0.2592943797404667,0.5354 (106/198),1.0 (58/58)
0,0.32903445623126687,0.5354 (106/198),1.0 (58/58)
0,0.41753189365604015,0.5758 (114/198),1.0 (58/58)
0,0.5298316906283709,0.5758 (114/198),1.0 (58/58)
0,0.6723357536499337,0.5758 (114/198),1.0 (58/58)
0,0.8531678524172808,0.5758 (114/198),1.0 (58/58)
0,1.0826367338740546,0.5303 (105/198),1.0 (58/58)
0,1.373823795883263,0.5303 (105/198),1.0 (58/58)
0,1.743328822199988,0.5707 (113/198),1.0 (58/58)
0,2.2122162910704493,0.5707 (113/198),1.0 (58/58)
0,2.807216203941177,0.5303 (105/198),1.0 (58/58)
0,3.562247890262442,0.5303 (105/198),1.0 (58/58)
0,4.520353656360243,0.5202 (103/198),0.8103 (47/58)
0,5.736152510448679,0.5202 (103/198),0.8103 (47/58)
0,7.27895384398315,0.6263 (124/198),0.8103 (47/58)
0,9.23670857187386,0.6263 (124/198),0.8103 (47/58)
0,11.721022975334806,0.6263 (124/198),0.6724 (39/58)
0,14.873521072935118,0.7677 (152/198),0.6724 (39/58)
0,18.873918221350976,0.7424 (147/198),0.6724 (39/58)
0,23.95026619987486,0.7273 (144/198),0.6724 (39/58)
0,30.39195382313198,0.6515 (129/198),0.6724 (39/58)
0,38.56620421163472,0.6515 (129/198),0.6552 (38/58)
0,48.93900918477494,0.6465 (128/198),0.6552 (38/58)
0,62.10169418915616,0.6465 (128/198),0.6552 (38/58)
0,78.80462815669912,0.7121 (141/198),0.4655 (27/58)
0,100.0,0.7121 (141/198),0.4655 (27/58)
